training supervised accuracy;		training supervised loss;		training supervised weight;		training unsupervised accuracy;		training unsupervised loss;		training total loss		validation supervised accuracy;		 validation attention accuracy		validation ensemble accuracy;
0.814201		0.502812		0.327356		0.739232		0.019212		0.428734		0.796000		0.714000		0.780400
0.814561		0.502717		0.327201		0.739232		0.019143		0.428482		0.794400		0.714000		0.779600
0.814201		0.502361		0.326590		0.739232		0.019186		0.428273		0.795600		0.714000		0.780400
0.814922		0.501956		0.325947		0.739232		0.019273		0.428009		0.794800		0.714000		0.780400
0.814201		0.501291		0.325493		0.739232		0.019385		0.427762		0.794800		0.714000		0.779600
0.814021		0.501339		0.325289		0.739232		0.019320		0.427458		0.795200		0.714000		0.778800
0.813300		0.500754		0.325326		0.739232		0.019345		0.427299		0.796400		0.714000		0.780000
0.813480		0.500883		0.325492		0.739232		0.019255		0.427016		0.794000		0.714000		0.778800
0.811678		0.499608		0.325585		0.739232		0.019462		0.426942		0.798000		0.714000		0.781200
0.816544		0.500731		0.325389		0.739232		0.019277		0.426693		0.792800		0.714000		0.778000
0.806812		0.498818		0.325011		0.739232		0.019729		0.427152		0.797600		0.714000		0.778800
0.817445		0.503166		0.324616		0.739232		0.019277		0.427668		0.788000		0.714000		0.776400
0.800505		0.499683		0.324475		0.739232		0.020410		0.429855		0.790800		0.714000		0.776400
0.812399		0.509120		0.324554		0.739232		0.019699		0.431914		0.776800		0.714000		0.774400
0.794918		0.502448		0.324917		0.739232		0.021134		0.434291		0.786800		0.714000		0.776800
0.809695		0.513797		0.325395		0.739232		0.019669		0.434929		0.780400		0.714000		0.776000
0.795098		0.502184		0.326067		0.739232		0.020441		0.433018		0.794400		0.714000		0.778000
0.815102		0.506245		0.326410		0.739232		0.018944		0.429029		0.788800		0.714000		0.776000
0.804289		0.496256		0.326240		0.739232		0.020056		0.427143		0.794400		0.714000		0.781600
0.819607		0.496120		0.325032		0.739232		0.020037		0.424667		0.794800		0.714000		0.780000
0.810957		0.492930		0.323537		0.739232		0.020718		0.424564		0.795600		0.714000		0.779200
0.820688		0.496097		0.322437		0.739232		0.020133		0.424037		0.791600		0.714000		0.777600
0.803748		0.495022		0.321951		0.739232		0.020489		0.425368		0.793200		0.714000		0.776400
0.815282		0.503271		0.322058		0.739232		0.019770		0.427566		0.778800		0.714000		0.774000
0.792215		0.499635		0.322757		0.739232		0.021756		0.432829		0.780400		0.714000		0.775600
0.795999		0.521140		0.323821		0.739232		0.021221		0.442034		0.755600		0.714000		0.773200
0.768066		0.510339		0.325145		0.739232		0.022800		0.444330		0.780400		0.714000		0.770000
0.801225		0.524450		0.325925		0.739232		0.018990		0.440612		0.786400		0.714000		0.774000
0.803748		0.504046		0.327750		0.739232		0.017766		0.428074		0.778400		0.714000		0.777200
0.793116		0.497290		0.328451		0.739232		0.022725		0.433940		0.770400		0.714000		0.785200
0.785907		0.528991		0.324190		0.739232		0.026548		0.457715		0.740800		0.714000		0.772800
0.746801		0.516013		0.321261		0.739232		0.029242		0.462073		0.772400		0.714000		0.765200
0.794377		0.532051		0.320117		0.739232		0.020030		0.445979		0.779200		0.714000		0.760800
0.801586		0.531405		0.320122		0.739232		0.017725		0.442099		0.760400		0.714000		0.768000
0.771130		0.515343		0.321406		0.739232		0.021151		0.442460		0.794000		0.714000		0.778800
0.812759		0.490372		0.324958		0.739232		0.021712		0.424995		0.794400		0.714000		0.792000
0.816363		0.496599		0.328119		0.739232		0.026945		0.437510		0.776000		0.714000		0.781600
0.785907		0.493120		0.322620		0.739232		0.031956		0.447951		0.780800		0.714000		0.782800
0.797441		0.518192		0.319430		0.739232		0.024769		0.444536		0.776400		0.714000		0.766400
0.796179		0.515896		0.318378		0.739232		0.018224		0.433226		0.757200		0.714000		0.760800
0.765003		0.525803		0.318057		0.739232		0.019819		0.443030		0.794000		0.714000		0.770000
0.812939		0.508434		0.318023		0.739232		0.018581		0.429437		0.792800		0.714000		0.781200
0.813840		0.495708		0.318217		0.739232		0.022772		0.429636		0.782400		0.714000		0.782800
0.792395		0.489644		0.318722		0.739232		0.029455		0.441260		0.786000		0.714000		0.788400
0.806091		0.505450		0.319511		0.739232		0.027089		0.441037		0.781200		0.714000		0.776000
0.799784		0.494838		0.320149		0.739232		0.022998		0.430300		0.788400		0.714000		0.770800
0.811858		0.505770		0.320220		0.739232		0.018055		0.424920		0.788400		0.714000		0.771200
0.814201		0.514000		0.320450		0.739232		0.017953		0.431383		0.785200		0.714000		0.772000
0.804469		0.498598		0.321081		0.739232		0.018913		0.425552		0.786400		0.714000		0.777600
0.804289		0.487882		0.321248		0.739232		0.021829		0.423733		0.792800		0.714000		0.780800
0.810236		0.491780		0.320002		0.739232		0.023863		0.427255		0.785200		0.714000		0.775200
0.797081		0.486839		0.318841		0.739232		0.024320		0.427338		0.787600		0.714000		0.774800
0.810597		0.494798		0.318279		0.739232		0.020985		0.422412		0.780400		0.714000		0.771600
0.800144		0.497433		0.318083		0.739232		0.019055		0.422563		0.776800		0.714000		0.769600
0.798522		0.499590		0.318111		0.739232		0.018732		0.423485		0.793200		0.714000		0.776000
0.808254		0.496656		0.318367		0.739232		0.019465		0.423003		0.789200		0.714000		0.778000
0.808794		0.487767		0.318963		0.739232		0.021242		0.421888		0.788000		0.714000		0.779200
